 rank |            title            | revenue | total revenue | percent revenue 
   57 | LIES TREATMENT              |  147.73 |       9780.30 | 14.51
   58 | ATTRACTION NEWTON           |  146.76 |       9927.06 | 14.72
   59 | FORRESTER COMANCHEROS       |  146.73 |      10073.79 | 14.94
   60 | MOVIE SHAKESPEARE           |  145.74 |      10219.53 | 15.16
   61 | TRIP NEWTON                 |  145.72 |      10365.25 | 15.37
   62 | GARDEN ISLAND               |  144.80 |      10510.05 | 15.59
   63 | DURHAM PANKY                |  144.74 |      10654.79 | 15.80
   64 | PRINCESS GIANT              |  142.74 |      10797.53 | 16.02
   65 | CALENDAR GUNFIGHT           |  141.79 |      11081.11 | 16.44
   65 | MOONSHINE CABIN             |  141.79 |      11081.11 | 16.44
   67 | TOURIST PELICAN             |  141.78 |      11222.89 | 16.65
   68 | STEEL SANTA                 |  141.77 |      11364.66 | 16.86
   69 | DRIFTER COMMANDMENTS        |  141.76 |      11506.42 | 17.07
   70 | CHANCE RESURRECTION         |  141.73 |      11648.15 | 17.28
   71 | FLAMINGOS CONNECTICUT       |  139.77 |      11787.92 | 17.49
   72 | FIDELITY DEVIL              |  138.79 |      11926.71 | 17.69
   73 | CENTER DINOSAUR             |  137.76 |      12064.47 | 17.90
   74 | COMA HEAD                   |  137.74 |      12202.21 | 18.10
   75 | QUEEN LUKE                  |  136.78 |      12338.99 | 18.30
   76 | NAME DETECTIVE              |  136.77 |      12475.76 | 18.51
   77 | CONEHEADS SMOOCHY           |  136.75 |      12612.51 | 18.71
   78 | GLEAMING JAWBREAKER         |  136.70 |      12885.91 | 19.11
   78 | PULP BEVERLY                |  136.70 |      12885.91 | 19.11
   80 | YENTL IDAHO                 |  135.77 |      13021.68 | 19.32
   81 | FLINTSTONES HAPPINESS       |  134.83 |      13156.51 | 19.52
   82 | WHALE BIKINI                |  134.82 |      13291.33 | 19.72
   83 | HUNCHBACK IMPOSSIBLE        |  134.80 |      13426.13 | 19.92
   84 | DETAILS PACKER              |  133.81 |      13559.94 | 20.11
   85 | PINOCCHIO SIMON             |  133.80 |      13693.74 | 20.31
   86 | SUSPECTS QUILLS             |  133.70 |      13827.44 | 20.51
   87 | NETWORK PEAK                |  133.69 |      13961.13 | 20.71
   88 | HEARTBREAKERS BRIGHT        |  132.80 |      14093.93 | 20.91
   89 | BEAUTY GREASE               |  132.78 |      14359.49 | 21.30
   89 | KISS GLORY                  |  132.78 |      14359.49 | 21.30
   91 | LIAISONS SWEET              |  131.78 |      14491.27 | 21.50
   92 | ALADDIN CALENDAR            |  131.77 |      14623.04 | 21.69
   93 | SLEEPING SUSPECTS           |  131.76 |      14754.80 | 21.89
   94 | METROPOLIS COMA             |  131.74 |      14886.54 | 22.08
   95 | BINGO TALENTED              |  131.71 |      15018.25 | 22.28
   96 | ROAD ROXANNE                |  130.81 |      15149.06 | 22.47
   97 | MILLION ACE                 |  130.80 |      15279.86 | 22.66
   98 | RIDGEMONT SUBMARINE         |  130.68 |      15410.54 | 22.86
   99 | SATISFACTION CONFIDENTIAL   |  129.83 |      15540.37 | 23.05
  100 | HEAVYWEIGHTS BEAST          |  129.77 |      15670.14 | 23.24
  101 | DAWN POND                   |  128.82 |      15798.96 | 23.43
  102 | INTERVIEW LIAISONS          |  128.80 |      15927.76 | 23.63
  103 | CAUSE DATE                  |  128.79 |      16056.55 | 23.82
  104 | CANDLES GRAPES              |  128.77 |      16185.32 | 24.01
  105 | FORWARD TEMPLE              |  128.68 |      16314.00 | 24.20
  106 | TEEN APOLLO                 |  127.83 |      16441.83 | 24.39
  107 | SOMETHING DUCK              |  127.81 |      16569.64 | 24.58
  108 | SNATCH SLIPPER              |  127.78 |      16697.42 | 24.77
  109 | FALCON VOLUME               |  127.77 |      16825.19 | 24.96
  110 | TRAP GUYS                   |  126.84 |      16952.03 | 25.15
  111 | MISSION ZOOLANDER           |  126.82 |      17078.85 | 25.33
  112 | AGENT TRUMAN                |  126.79 |      17332.43 | 25.71
  112 | SABRINA MIDNIGHT            |  126.79 |      17332.43 | 25.71
  114 | FREDDY STORM                |  126.77 |      17459.20 | 25.90
  115 | STRANGERS GRAFFITI          |  123.83 |      17583.03 | 26.08
  116 | DOORS PRESIDENT             |  123.81 |      17706.84 | 26.26
  117 | MALTESE HOPE                |  123.78 |      17830.62 | 26.45
  118 | BUTTERFLY CHOCOLAT          |  123.70 |      17954.32 | 26.63
  119 | TIMBERLAND SKY              |  123.69 |      18078.01 | 26.82
  120 | WATERFRONT DELIVERANCE      |  121.83 |      18199.84 | 27.00
  121 | SLEEPLESS MONSOON           |  121.80 |      18321.64 | 27.18
  122 | TRUMAN CRAZY                |  121.77 |      18443.41 | 27.36
  123 | SCARFACE BANG               |  120.82 |      18564.23 | 27.54
  124 | HIGH ENCINO                 |  120.78 |      18685.01 | 27.72
  125 | RAGE GAMES                  |  119.81 |      18804.82 | 27.89
  126 | GHOST GROUNDHOG             |  119.79 |      18924.61 | 28.07
  127 | ANGELS LIFE                 |  119.78 |      19044.39 | 28.25
  128 | WASH HEAVENLY               |  119.77 |      19164.16 | 28.43
  129 | LADY STAGE                  |  118.83 |      19282.99 | 28.60
  130 | DESERT POSEIDON             |  118.81 |      19401.80 | 28.78
  131 | PHILADELPHIA WIFE           |  118.78 |      19520.58 | 28.96
  132 | VIRTUAL SPOILERS            |  117.86 |      19638.44 | 29.13
  133 | THIEF PELICAN               |  117.81 |      19756.25 | 29.30
  134 | BROOKLYN DESERT             |  116.79 |      19989.83 | 29.65
  134 | SECRET GROUNDHOG            |  116.79 |      19989.83 | 29.65
  136 | KNOCK WARLOCK               |  116.76 |      20106.59 | 29.82
  137 | HANKY OCTOBER               |  116.74 |      20223.33 | 30.00
  138 | ROCKETEER MOTHER            |  116.67 |      20340.00 | 30.17
  139 | GALAXY SWEETHEARTS          |  115.82 |      20455.82 | 30.34
  140 | PREJUDICE OLEANDER          |  115.80 |      20687.42 | 30.69
  140 | SPICE SORORITY              |  115.80 |      20687.42 | 30.69
  142 | BEVERLY OUTLAW              |  115.79 |      20919.00 | 31.03
  142 | DRIVING POLISH              |  115.79 |      20919.00 | 31.03
  144 | CONVERSATION DOWNHILL       |  114.83 |      21033.83 | 31.20
  145 | UNDEFEATED DALMATIONS       |  114.79 |      21148.62 | 31.37
  146 | ARACHNOPHOBIA ROLLERCOASTER |  114.76 |      21263.38 | 31.54
  147 | IDOLS SNATCHERS             |  114.70 |      21378.08 | 31.71
  148 | HANGING DEEP                |  113.81 |      21491.89 | 31.88
  149 | REDEMPTION COMFORTS         |  113.80 |      21605.69 | 32.05
  150 | OPEN AFRICAN                |  113.79 |      21719.48 | 32.22
  151 | STRICTLY SCARFACE           |  113.77 |      21833.25 | 32.39
  152 | SECRETARY ROUGE             |  112.82 |      21946.07 | 32.55
  153 | HORN WORKING                |  112.76 |      22058.83 | 32.72
  154 | CLUELESS BUCKET             |  112.75 |      22171.58 | 32.89
  155 | GANGS PRIDE                 |  112.73 |      22284.31 | 33.05
  156 | BIRDS PERDITION             |  111.82 |      22396.13 | 33.22
  157 | SWEDEN SHINING              |  111.81 |      22507.94 | 33.39
  158 | MONEY HAROLD                |  111.80 |      22619.74 | 33.55
  159 | FARGO GANDHI                |  111.76 |      22731.50 | 33.72
  160 | PANKY SUBMARINE             |  110.85 |      22842.35 | 33.88
  161 | DUDE BLINDNESS              |  110.84 |      22953.19 | 34.05
  162 | EXPECATIONS NATURAL         |  110.82 |      23064.01 | 34.21
  163 | CHASING FIGHT               |  110.81 |      23285.63 | 34.54
  163 | REQUIEM TYCOON              |  110.81 |      23285.63 | 34.54
  165 | REIGN GENTLEMEN             |  110.80 |      23396.43 | 34.70
  166 | TOMORROW HUSTLER            |  110.75 |      23507.18 | 34.87
  167 | GRIT CLOCKWORK              |  110.68 |      23617.86 | 35.03
  168 | DAY UNFAITHFUL              |  109.86 |      23727.72 | 35.20
  169 | BREAKFAST GOLDFINGER        |  109.83 |      23837.55 | 35.36
  170 | SHAWSHANK BUBBLE            |  109.81 |      23947.36 | 35.52
  171 | JET NEIGHBORS               |  109.80 |      24057.16 | 35.68
  172 | GREATEST NORTH              |  109.71 |      24166.87 | 35.85
  173 | FISH OPUS                   |  108.75 |      24384.37 | 36.17
  173 | SAMURAI LION                |  108.75 |      24384.37 | 36.17
  175 | COMMAND DARLING             |  107.84 |      24600.05 | 36.49
  175 | ROCKY WAR                   |  107.84 |      24600.05 | 36.49
  177 | JERK PAYCHECK               |  107.80 |      24707.85 | 36.65
  178 | BEAR GRACELAND              |  107.78 |      24923.41 | 36.97
  178 | SOUTH WAIT                  |  107.78 |      24923.41 | 36.97
  180 | FATAL HAUNTED               |  107.72 |      25031.13 | 37.13
  181 | CUPBOARD SINNERS            |  106.77 |      25244.67 | 37.45
  181 | SALUTE APOLLO               |  106.77 |      25244.67 | 37.45
  183 | GIANT TROOPERS              |  106.72 |      25351.39 | 37.60
  184 | LEAGUE HELLFIGHTERS         |  105.83 |      25563.05 | 37.92
  184 | SUGAR WONKA                 |  105.83 |      25563.05 | 37.92
  186 | GORGEOUS BINGO              |  105.81 |      25668.86 | 38.08
  187 | PEAK FOREVER                |  105.80 |      25774.66 | 38.23
  188 | EGG IGBY                    |  105.79 |      25880.45 | 38.39
  189 | ROBBERS JOON                |  105.69 |      25986.14 | 38.55
  190 | WEST LION                   |  104.84 |      26090.98 | 38.70
  191 | STEPMOM DREAM               |  104.80 |      26195.78 | 38.86
  192 | ARIZONA BANG                |  104.79 |      26300.57 | 39.01
  193 | HYDE DOCTOR                 |  104.73 |      26405.30 | 39.17
  194 | TYCOON GATHERING            |  103.88 |      26509.18 | 39.32
  195 | CORE SUIT                   |  103.82 |      26716.82 | 39.63
  195 | DRAGONFLY STRANGERS         |  103.82 |      26716.82 | 39.63
  197 | METAL ARMAGEDDON            |  103.75 |      26820.57 | 39.78
  198 | INVASION CYCLONE            |  103.73 |      26924.30 | 39.94
  199 | ENGLISH BULWORTH            |  103.70 |      27028.00 | 40.09
  200 | BILKO ANONYMOUS             |  102.87 |      27130.87 | 40.24
  201 | CONFUSED CANDLES            |  102.83 |      27336.53 | 40.55
  201 | FRENCH HOLIDAY              |  102.83 |      27336.53 | 40.55
  203 | AIRPORT POLLOCK             |  102.82 |      27542.17 | 40.85
  203 | GROUNDHOG UNCUT             |  102.82 |      27542.17 | 40.85
  205 | PATTON INTERVIEW            |  102.77 |      27644.94 | 41.01
  206 | ATTACKS HATE                |  101.84 |      27950.46 | 41.46
  206 | PAYCHECK WAIT               |  101.84 |      27950.46 | 41.46
  206 | RULES HUMAN                 |  101.84 |      27950.46 | 41.46
  209 | BROTHERHOOD BLANKET         |  101.74 |      28052.20 | 41.61
  210 | CAMELOT VACATION            |  101.73 |      28153.93 | 41.76
  211 | BEHAVIOR RUNAWAY            |  100.87 |      28254.80 | 41.91
  212 | QUILLS BULL                 |  100.84 |      28355.64 | 42.06
  213 | POSEIDON FOREVER            |  100.83 |      28456.47 | 42.21
  214 | ICE CROSSING                |  100.76 |      28657.99 | 42.51
  214 | JASON TRAP                  |  100.76 |      28657.99 | 42.51
  216 | CONQUERER NUTS              |   99.84 |      28857.67 | 42.81
  216 | MERMAID INSECTS             |   99.84 |      28857.67 | 42.81
  218 | IGBY MAKER                  |   99.81 |      28957.48 | 42.95
  219 | SHOCK CABIN                 |   99.70 |      29057.18 | 43.10
  220 | HALL CASSIDY                |   98.84 |      29254.86 | 43.39
  220 | PICKUP DRIVING              |   98.84 |      29254.86 | 43.39
  222 | BIKINI BORROWERS            |   98.83 |      29551.35 | 43.83
  222 | HANOVER GALAXY              |   98.83 |      29551.35 | 43.83
  222 | JERICHO MULAN               |   98.83 |      29551.35 | 43.83
  225 | BALLOON HOMEWARD            |   98.77 |      29650.12 | 43.98
  226 | SWEETHEARTS SUSPECTS        |   98.71 |      29748.83 | 44.13
  227 | MARRIED GO                  |   98.70 |      29847.53 | 44.27
  228 | WIZARD COLDBLOODED          |   97.84 |      29945.37 | 44.42
  229 | HELLFIGHTERS SIERRA         |   97.80 |      30043.17 | 44.56
  230 | SEA VIRGIN                  |   97.78 |      30140.95 | 44.71
  231 | EXPENDABLE STALLION         |   97.72 |      30238.67 | 44.85
  232 | DESTINY SATURDAY            |   96.84 |      30335.51 | 45.00
  233 | CANDIDATE PERDITION         |   96.81 |      30432.32 | 45.14
  234 | VACATION BOONDOCK           |   96.79 |      30529.11 | 45.28
  235 | BARBARELLA STREETCAR        |   96.75 |      30625.86 | 45.43
  236 | DEER VIRGINIAN              |   96.72 |      30722.58 | 45.57
  237 | JUGGLER HARDLY              |   96.68 |      30819.26 | 45.71
  238 | DAISY MENAGERIE             |   95.84 |      30915.10 | 45.86
  239 | INCH JET                    |   95.82 |      31010.92 | 46.00
  240 | OZ LIAISONS                 |   95.76 |      31106.68 | 46.14
  241 | SEABISCUIT PUNK             |   95.74 |      31202.42 | 46.28
  242 | MUSCLE BRIGHT               |   95.70 |      31298.12 | 46.43
  243 | GOLD RIVER                  |   94.86 |      31392.98 | 46.57
  244 | SPY MILE                    |   94.73 |      31487.71 | 46.71
  245 | MODEL FISH                  |   93.85 |      31581.56 | 46.85
  246 | DYING MAKER                 |   93.83 |      31769.22 | 47.12
  246 | VIRGIN DAISY                |   93.83 |      31769.22 | 47.12
  248 | DARN FORRESTER              |   93.82 |      31863.04 | 47.26
  249 | COLOR PHILADELPHIA          |   93.76 |      31956.80 | 47.40
  250 | WARDROBE PHANTOM            |   93.73 |      32050.53 | 47.54
  251 | BRIGHT ENCOUNTERS           |   92.87 |      32236.27 | 47.82
  251 | FLASH WARS                  |   92.87 |      32236.27 | 47.82
  253 | EDGE KISSING                |   92.85 |      32329.12 | 47.95
  254 | PURE RUNNER                 |   92.84 |      32421.96 | 48.09
  255 | MUSKETEERS WAIT             |   92.83 |      32514.79 | 48.23
  256 | SLEEPY JAPANESE             |   92.80 |      32607.59 | 48.37
  257 | SILVERADO GOLDFINGER        |   91.88 |      32699.47 | 48.50
  258 | BETRAYED REAR               |   91.85 |      32791.32 | 48.64
  259 | SAGEBRUSH CLUELESS          |   91.84 |      32883.16 | 48.78
  260 | SLACKER LIAISONS            |   91.83 |      32974.99 | 48.91
  261 | AFFAIR PREJUDICE            |   91.77 |      33066.76 | 49.05
  262 | HALF OUTFIELD               |   91.75 |      33250.26 | 49.32
  262 | TELEMARK HEARTBREAKERS      |   91.75 |      33250.26 | 49.32
  264 | BLACKOUT PRIVATE            |   91.73 |      33341.99 | 49.46
  265 | CONNECTICUT TRAMP           |   90.87 |      33432.86 | 49.59
  266 | CAMPUS REMEMBER             |   90.81 |      33523.67 | 49.73
  267 | BASIC EASY                  |   90.79 |      33614.46 | 49.86
  268 | ALIEN CENTER                |   90.78 |      33796.02 | 50.13
  268 | FLATLINERS KILLER           |   90.78 |      33796.02 | 50.13
  270 | ELEPHANT TROJAN             |   89.86 |      33885.88 | 50.26
  271 | CHICAGO NORTH               |   89.84 |      34065.56 | 50.53
  271 | COLDBLOODED DARLING         |   89.84 |      34065.56 | 50.53
  273 | DISTURBING SCARFACE         |   89.74 |      34155.30 | 50.66
  274 | PITTSBURGH HUNCHBACK        |   88.88 |      34244.18 | 50.79
  275 | MEMENTO ZOOLANDER           |   88.87 |      34421.92 | 51.06
  275 | MOONWALKER FOOL             |   88.87 |      34421.92 | 51.06
  277 | LOSER HUSTLER               |   88.85 |      34688.47 | 51.45
  277 | PANTHER REDS                |   88.85 |      34688.47 | 51.45
  277 | SUBMARINE BED               |   88.85 |      34688.47 | 51.45
  280 | PLUTO OLEANDER              |   88.84 |      34777.31 | 51.59
  281 | RUSH GOODFELLAS             |   88.69 |      34866.00 | 51.72
  282 | CINCINATTI WHISPERER        |   87.87 |      34953.87 | 51.85
  283 | HYSTERICAL GRAIL            |   87.85 |      35041.72 | 51.98
  284 | FORREST SONS                |   87.82 |      35217.36 | 52.24
  284 | VANISHING ROCKY             |   87.82 |      35217.36 | 52.24
  286 | NORTHWEST POLISH            |   87.80 |      35305.16 | 52.37
  287 | ATLANTIS CAUSE              |   87.76 |      35392.92 | 52.50
  288 | HORROR REIGN                |   87.73 |      35568.38 | 52.76
  288 | OPERATION OPERATION         |   87.73 |      35568.38 | 52.76
  290 | SUPER WYOMING               |   86.87 |      35655.25 | 52.89
  291 | JEEPERS WEDDING             |   86.84 |      35915.77 | 53.27
  291 | LAWLESS VISION              |   86.84 |      35915.77 | 53.27
  291 | WANDA CHAMBER               |   86.84 |      35915.77 | 53.27
  294 | JEKYLL FROGMEN              |   86.83 |      36002.60 | 53.40
  295 | STAR OPERATION              |   86.79 |      36089.39 | 53.53
  296 | STRANGELOVE DESIRE          |   86.76 |      36176.15 | 53.66
  297 | CHAMPION FLATLINERS         |   85.87 |      36262.02 | 53.79
  298 | ANTHEM LUKE                 |   85.85 |      36433.72 | 54.04
  298 | STEERS ARMAGEDDON           |   85.85 |      36433.72 | 54.04
  300 | HURRICANE AFFAIR            |   85.76 |      36519.48 | 54.17
  301 | CLASH FREDDY                |   85.75 |      36605.23 | 54.30
  302 | CONTACT ANONYMOUS           |   85.74 |      36862.45 | 54.68
  302 | ISLAND EXORCIST             |   85.74 |      36862.45 | 54.68
  302 | TRACY CIDER                 |   85.74 |      36862.45 | 54.68
  305 | AUTUMN CROW                 |   84.89 |      36947.34 | 54.80
  306 | RAGING AIRPLANE             |   84.87 |      37032.21 | 54.93
  307 | PEACH INNOCENT              |   84.85 |      37117.06 | 55.06
  308 | COMFORTS RUSH               |   84.83 |      37201.89 | 55.18
  309 | BLUES INSTINCT              |   84.79 |      37286.68 | 55.31
  310 | MURDER ANTITRUST            |   84.77 |      37371.45 | 55.43
  311 | DOWNHILL ENOUGH             |   84.75 |      37456.20 | 55.56
  312 | MALKOVICH PET               |   84.74 |      37540.94 | 55.69
  313 | NONE SPIKING                |   84.73 |      37625.67 | 55.81
  314 | CALIFORNIA BIRDS            |   83.88 |      37709.55 | 55.94
  315 | DEVIL DESIRE                |   83.85 |      37793.40 | 56.06
  316 | CAROL TEXAS                 |   83.82 |      37877.22 | 56.18
  317 | EYES DRIVING                |   83.81 |      37961.03 | 56.31
  318 | FLYING HOOK                 |   83.80 |      38044.83 | 56.43
  319 | WAIT CIDER                  |   83.79 |      38128.62 | 56.56
  320 | OSCAR GOLD                  |   83.75 |      38212.37 | 56.68
  321 | DARKO DORADO                |   82.89 |      38295.26 | 56.80
  322 | CREEPERS KANE               |   82.86 |      38378.12 | 56.93
  323 | AIRPLANE SIERRA             |   82.85 |      38543.82 | 57.17
  323 | HOLIDAY GAMES               |   82.85 |      38543.82 | 57.17
  325 | CASABLANCA SUPER            |   82.84 |      38709.50 | 57.42
  325 | WORDS HUNTER                |   82.84 |      38709.50 | 57.42
  327 | NATIONAL STORY              |   82.81 |      38792.31 | 57.54
  328 | UNBREAKABLE KARATE          |   82.79 |      38875.10 | 57.66
  329 | SHAKESPEARE SADDLE          |   82.78 |      38957.88 | 57.79
  330 | PATHS CONTROL               |   81.90 |      39039.78 | 57.91
  331 | SWEET BROTHERHOOD           |   81.85 |      39121.63 | 58.03
  332 | TROJAN TOMORROW             |   81.80 |      39203.43 | 58.15
  333 | DREAM PICKUP                |   81.78 |      39285.21 | 58.27
  334 | GENTLEMEN STAGE             |   81.77 |      39366.98 | 58.39
  335 | GOLDFINGER SENSIBILITY      |   81.76 |      39530.50 | 58.64
  335 | WEDDING APOLLO              |   81.76 |      39530.50 | 58.64
  337 | LOSE INCH                   |   81.73 |      39612.23 | 58.76
  338 | GRAFFITI LOVE               |   81.70 |      39693.93 | 58.88
  339 | HOBBIT ALIEN                |   81.69 |      39775.62 | 59.00
  340 | TIES HUNGER                 |   80.89 |      39856.51 | 59.12
  341 | DEEP CRUSADE                |   80.86 |      39937.37 | 59.24
  342 | CHARADE DUFFEL              |   80.85 |      40099.07 | 59.48
  342 | HUMAN GRAFFITI              |   80.85 |      40099.07 | 59.48
  344 | IDAHO LOVE                  |   80.83 |      40260.73 | 59.72
  344 | ORIENT CLOSER               |   80.83 |      40260.73 | 59.72
  346 | ESCAPE METROPOLIS           |   80.75 |      40341.48 | 59.84
  347 | VAMPIRE WHALE               |   79.88 |      40421.36 | 59.96
  348 | HOME PITY                   |   79.86 |      40501.22 | 60.08
  349 | BAKED CLEOPATRA             |   79.84 |      40660.90 | 60.31
  349 | SONS INTERVIEW              |   79.84 |      40660.90 | 60.31
  351 | FERRIS MOTHER               |   79.83 |      40740.73 | 60.43
  352 | PARADISE SABRINA            |   79.82 |      40820.55 | 60.55
  353 | TROUBLE DATE                |   79.78 |      40900.33 | 60.67
  354 | OTHERS SOUP                 |   79.77 |      40980.10 | 60.79
  355 | JUMPING WRATH               |   79.76 |      41059.86 | 60.90
  356 | WEREWOLF LOLA               |   78.86 |      41138.72 | 61.02
  357 | INTENTIONS EMPIRE           |   78.83 |      41217.55 | 61.14
  358 | BERETS AGENT                |   78.78 |      41296.33 | 61.26
  359 | BOILED DARES                |   77.85 |      41452.03 | 61.49
  359 | LONELY ELEPHANT             |   77.85 |      41452.03 | 61.49
  361 | JACKET FRISCO               |   77.82 |      41529.85 | 61.60
  362 | HARPER DYING                |   77.80 |      41685.45 | 61.83
  362 | QUEST MUSSOLINI             |   77.80 |      41685.45 | 61.83
  364 | CROSSROADS CASUALTIES       |   77.79 |      41763.24 | 61.95
  365 | MALLRATS UNITED             |   77.75 |      41840.99 | 62.06
  366 | BEAST HUNCHBACK             |   76.89 |      41917.88 | 62.18
  367 | TUXEDO MILE                 |   76.87 |      41994.75 | 62.29
  368 | BLINDNESS GUN               |   76.86 |      42225.33 | 62.63
  368 | GRINCH MASSAGE              |   76.86 |      42225.33 | 62.63
  368 | IMAGE PRINCESS              |   76.86 |      42225.33 | 62.63
  371 | MADISON TRAP                |   76.85 |      42302.18 | 62.75
  372 | BADMAN DAWN                 |   76.79 |      42378.97 | 62.86
  373 | FROST HEAD                  |   76.70 |      42455.67 | 62.98
  374 | STRANGER STRANGERS          |   75.89 |      42531.56 | 63.09
  375 | LIBERTY MAGNIFICENT         |   75.88 |      42607.44 | 63.20
  376 | DADDY PITTSBURGH            |   75.87 |      42683.31 | 63.31
  377 | CONFESSIONS MAGUIRE         |   75.86 |      42910.89 | 63.65
  377 | HOLES BRANNIGAN             |   75.86 |      42910.89 | 63.65
  377 | SEARCHERS WAIT              |   75.86 |      42910.89 | 63.65
  380 | HOPE TOOTSIE                |   75.82 |      42986.71 | 63.76
  381 | BIRCH ANTITRUST             |   74.89 |      43061.60 | 63.87
  382 | BRANNIGAN SUNRISE           |   74.88 |      43136.48 | 63.99
  383 | IMPOSSIBLE PREJUDICE        |   74.86 |      43211.34 | 64.10
  384 | LUST LOCK                   |   74.82 |      43360.98 | 64.32
  384 | WEEKEND PERSONAL            |   74.82 |      43360.98 | 64.32
  386 | HOMICIDE PEACH              |   74.78 |      43435.76 | 64.43
  387 | HOUSE DYNAMITE              |   74.77 |      43510.53 | 64.54
  388 | DOUBLE WRATH                |   74.75 |      43585.28 | 64.65
  389 | THIN SAGEBRUSH              |   73.89 |      43659.17 | 64.76
  390 | CHISUM BEHAVIOR             |   73.87 |      43733.04 | 64.87
  391 | OUTLAW HANKY                |   73.86 |      43806.90 | 64.98
  392 | WORST BANGER                |   73.84 |      43880.74 | 65.09
  393 | ZOOLANDER FICTION           |   73.83 |      43954.57 | 65.20
  394 | REMEMBER DIARY              |   73.82 |      44028.39 | 65.31
  395 | FANTASIA PARK               |   73.81 |      44102.20 | 65.42
  396 | INSIDER ARIZONA             |   73.80 |      44176.00 | 65.53
  397 | DOOM DANCING                |   73.79 |      44249.79 | 65.64
  398 | SINNERS ATLANTIS            |   73.78 |      44323.57 | 65.75
  399 | MADNESS ATTACKS             |   73.75 |      44397.32 | 65.86
