 rank |            title            | revenue 
  167 | GRIT CLOCKWORK              |  110.68
  168 | DAY UNFAITHFUL              |  109.86
  169 | BREAKFAST GOLDFINGER        |  109.83
  170 | SHAWSHANK BUBBLE            |  109.81
  171 | JET NEIGHBORS               |  109.80
  172 | GREATEST NORTH              |  109.71
  173 | FISH OPUS                   |  108.75
  173 | SAMURAI LION                |  108.75
  175 | COMMAND DARLING             |  107.84
  175 | ROCKY WAR                   |  107.84
  177 | JERK PAYCHECK               |  107.80
  178 | SOUTH WAIT                  |  107.78
  178 | BEAR GRACELAND              |  107.78
  180 | FATAL HAUNTED               |  107.72
  181 | SALUTE APOLLO               |  106.77
  181 | CUPBOARD SINNERS            |  106.77
  183 | GIANT TROOPERS              |  106.72
  184 | LEAGUE HELLFIGHTERS         |  105.83
  184 | SUGAR WONKA                 |  105.83
  186 | GORGEOUS BINGO              |  105.81
  187 | PEAK FOREVER                |  105.80
  188 | EGG IGBY                    |  105.79
  189 | ROBBERS JOON                |  105.69
  190 | WEST LION                   |  104.84
  191 | STEPMOM DREAM               |  104.80
  192 | ARIZONA BANG                |  104.79
  193 | HYDE DOCTOR                 |  104.73
  194 | TYCOON GATHERING            |  103.88
  195 | CORE SUIT                   |  103.82
  195 | DRAGONFLY STRANGERS         |  103.82
  197 | METAL ARMAGEDDON            |  103.75
  198 | INVASION CYCLONE            |  103.73
  199 | ENGLISH BULWORTH            |  103.70
  200 | BILKO ANONYMOUS             |  102.87
  201 | CONFUSED CANDLES            |  102.83
  201 | FRENCH HOLIDAY              |  102.83
  203 | GROUNDHOG UNCUT             |  102.82
  203 | AIRPORT POLLOCK             |  102.82
  205 | PATTON INTERVIEW            |  102.77
  206 | PAYCHECK WAIT               |  101.84
  206 | ATTACKS HATE                |  101.84
  206 | RULES HUMAN                 |  101.84
  209 | BROTHERHOOD BLANKET         |  101.74
  210 | CAMELOT VACATION            |  101.73
  211 | BEHAVIOR RUNAWAY            |  100.87
  212 | QUILLS BULL                 |  100.84
  213 | POSEIDON FOREVER            |  100.83
  214 | ICE CROSSING                |  100.76
  214 | JASON TRAP                  |  100.76
  216 | MERMAID INSECTS             |   99.84
  216 | CONQUERER NUTS              |   99.84
  218 | IGBY MAKER                  |   99.81
  219 | SHOCK CABIN                 |   99.70
  220 | PICKUP DRIVING              |   98.84
  220 | HALL CASSIDY                |   98.84
  222 | BIKINI BORROWERS            |   98.83
  222 | HANOVER GALAXY              |   98.83
  222 | JERICHO MULAN               |   98.83
  225 | BALLOON HOMEWARD            |   98.77
  226 | SWEETHEARTS SUSPECTS        |   98.71
  227 | MARRIED GO                  |   98.70
  228 | WIZARD COLDBLOODED          |   97.84
  229 | HELLFIGHTERS SIERRA         |   97.80
  230 | SEA VIRGIN                  |   97.78
  231 | EXPENDABLE STALLION         |   97.72
  232 | DESTINY SATURDAY            |   96.84
  233 | CANDIDATE PERDITION         |   96.81
  234 | VACATION BOONDOCK           |   96.79
  235 | BARBARELLA STREETCAR        |   96.75
  236 | DEER VIRGINIAN              |   96.72
  237 | JUGGLER HARDLY              |   96.68
  238 | DAISY MENAGERIE             |   95.84
  239 | INCH JET                    |   95.82
  240 | OZ LIAISONS                 |   95.76
  241 | SEABISCUIT PUNK             |   95.74
  242 | MUSCLE BRIGHT               |   95.70
  243 | GOLD RIVER                  |   94.86
  244 | SPY MILE                    |   94.73
  245 | MODEL FISH                  |   93.85
  246 | VIRGIN DAISY                |   93.83
  246 | DYING MAKER                 |   93.83
  248 | DARN FORRESTER              |   93.82
  249 | COLOR PHILADELPHIA          |   93.76
  250 | WARDROBE PHANTOM            |   93.73
  251 | FLASH WARS                  |   92.87
  251 | BRIGHT ENCOUNTERS           |   92.87
  253 | EDGE KISSING                |   92.85
  254 | PURE RUNNER                 |   92.84
  255 | MUSKETEERS WAIT             |   92.83
  256 | SLEEPY JAPANESE             |   92.80
  257 | SILVERADO GOLDFINGER        |   91.88
  258 | BETRAYED REAR               |   91.85
  259 | SAGEBRUSH CLUELESS          |   91.84
  260 | SLACKER LIAISONS            |   91.83
  261 | AFFAIR PREJUDICE            |   91.77
  262 | TELEMARK HEARTBREAKERS      |   91.75
  262 | HALF OUTFIELD               |   91.75
  264 | BLACKOUT PRIVATE            |   91.73
  265 | CONNECTICUT TRAMP           |   90.87
  266 | CAMPUS REMEMBER             |   90.81
  267 | BASIC EASY                  |   90.79
  268 | FLATLINERS KILLER           |   90.78
  268 | ALIEN CENTER                |   90.78
  270 | ELEPHANT TROJAN             |   89.86
  271 | CHICAGO NORTH               |   89.84
  271 | COLDBLOODED DARLING         |   89.84
  273 | DISTURBING SCARFACE         |   89.74
  274 | PITTSBURGH HUNCHBACK        |   88.88
  275 | MEMENTO ZOOLANDER           |   88.87
  275 | MOONWALKER FOOL             |   88.87
  277 | LOSER HUSTLER               |   88.85
  277 | SUBMARINE BED               |   88.85
  277 | PANTHER REDS                |   88.85
  280 | PLUTO OLEANDER              |   88.84
  281 | RUSH GOODFELLAS             |   88.69
  282 | CINCINATTI WHISPERER        |   87.87
  283 | HYSTERICAL GRAIL            |   87.85
  284 | FORREST SONS                |   87.82
  284 | VANISHING ROCKY             |   87.82
  286 | NORTHWEST POLISH            |   87.80
  287 | ATLANTIS CAUSE              |   87.76
  288 | OPERATION OPERATION         |   87.73
  288 | HORROR REIGN                |   87.73
  290 | SUPER WYOMING               |   86.87
  291 | WANDA CHAMBER               |   86.84
  291 | JEEPERS WEDDING             |   86.84
  291 | LAWLESS VISION              |   86.84
  294 | JEKYLL FROGMEN              |   86.83
  295 | STAR OPERATION              |   86.79
  296 | STRANGELOVE DESIRE          |   86.76
  297 | CHAMPION FLATLINERS         |   85.87
  298 | ANTHEM LUKE                 |   85.85
  298 | STEERS ARMAGEDDON           |   85.85
  300 | HURRICANE AFFAIR            |   85.76
  301 | CLASH FREDDY                |   85.75
  302 | ISLAND EXORCIST             |   85.74
  302 | TRACY CIDER                 |   85.74
  302 | CONTACT ANONYMOUS           |   85.74
  305 | AUTUMN CROW                 |   84.89
  306 | RAGING AIRPLANE             |   84.87
  307 | PEACH INNOCENT              |   84.85
  308 | COMFORTS RUSH               |   84.83
  309 | BLUES INSTINCT              |   84.79
  310 | MURDER ANTITRUST            |   84.77
  311 | DOWNHILL ENOUGH             |   84.75
  312 | MALKOVICH PET               |   84.74
  313 | NONE SPIKING                |   84.73
  314 | CALIFORNIA BIRDS            |   83.88
  315 | DEVIL DESIRE                |   83.85
  316 | CAROL TEXAS                 |   83.82
  317 | EYES DRIVING                |   83.81
  318 | FLYING HOOK                 |   83.80
  319 | WAIT CIDER                  |   83.79
  320 | OSCAR GOLD                  |   83.75
  321 | DARKO DORADO                |   82.89
  322 | CREEPERS KANE               |   82.86
  323 | AIRPLANE SIERRA             |   82.85
  323 | HOLIDAY GAMES               |   82.85
  325 | CASABLANCA SUPER            |   82.84
  325 | WORDS HUNTER                |   82.84
  327 | NATIONAL STORY              |   82.81
  328 | UNBREAKABLE KARATE          |   82.79
  329 | SHAKESPEARE SADDLE          |   82.78
  330 | PATHS CONTROL               |   81.90
  331 | SWEET BROTHERHOOD           |   81.85
  332 | TROJAN TOMORROW             |   81.80
  333 | DREAM PICKUP                |   81.78
  334 | GENTLEMEN STAGE             |   81.77
  335 | WEDDING APOLLO              |   81.76
  335 | GOLDFINGER SENSIBILITY      |   81.76
  337 | LOSE INCH                   |   81.73
  338 | GRAFFITI LOVE               |   81.70
  339 | HOBBIT ALIEN                |   81.69
  340 | TIES HUNGER                 |   80.89
  341 | DEEP CRUSADE                |   80.86
  342 | HUMAN GRAFFITI              |   80.85
  342 | CHARADE DUFFEL              |   80.85
  344 | IDAHO LOVE                  |   80.83
  344 | ORIENT CLOSER               |   80.83
  346 | ESCAPE METROPOLIS           |   80.75
  347 | VAMPIRE WHALE               |   79.88
  348 | HOME PITY                   |   79.86
  349 | BAKED CLEOPATRA             |   79.84
  349 | SONS INTERVIEW              |   79.84
  351 | FERRIS MOTHER               |   79.83
  352 | PARADISE SABRINA            |   79.82
  353 | TROUBLE DATE                |   79.78
  354 | OTHERS SOUP                 |   79.77
  355 | JUMPING WRATH               |   79.76
  356 | WEREWOLF LOLA               |   78.86
  357 | INTENTIONS EMPIRE           |   78.83
  358 | BERETS AGENT                |   78.78
  359 | BOILED DARES                |   77.85
  359 | LONELY ELEPHANT             |   77.85
  361 | JACKET FRISCO               |   77.82
  362 | HARPER DYING                |   77.80
  362 | QUEST MUSSOLINI             |   77.80
  364 | CROSSROADS CASUALTIES       |   77.79
  365 | MALLRATS UNITED             |   77.75
  366 | BEAST HUNCHBACK             |   76.89
  367 | TUXEDO MILE                 |   76.87
  368 | BLINDNESS GUN               |   76.86
  368 | IMAGE PRINCESS              |   76.86
  368 | GRINCH MASSAGE              |   76.86
  371 | MADISON TRAP                |   76.85
  372 | BADMAN DAWN                 |   76.79
  373 | FROST HEAD                  |   76.70
  374 | STRANGER STRANGERS          |   75.89
  375 | LIBERTY MAGNIFICENT         |   75.88
  376 | DADDY PITTSBURGH            |   75.87
  377 | CONFESSIONS MAGUIRE         |   75.86
  377 | HOLES BRANNIGAN             |   75.86
  377 | SEARCHERS WAIT              |   75.86
  380 | HOPE TOOTSIE                |   75.82
  381 | BIRCH ANTITRUST             |   74.89
  382 | BRANNIGAN SUNRISE           |   74.88
  383 | IMPOSSIBLE PREJUDICE        |   74.86
  384 | WEEKEND PERSONAL            |   74.82
  384 | LUST LOCK                   |   74.82
  386 | HOMICIDE PEACH              |   74.78
  387 | HOUSE DYNAMITE              |   74.77
  388 | DOUBLE WRATH                |   74.75
  389 | THIN SAGEBRUSH              |   73.89
  390 | CHISUM BEHAVIOR             |   73.87
  391 | OUTLAW HANKY                |   73.86
  392 | WORST BANGER                |   73.84
  393 | ZOOLANDER FICTION           |   73.83
  394 | REMEMBER DIARY              |   73.82
  395 | FANTASIA PARK               |   73.81
  396 | INSIDER ARIZONA             |   73.80
  397 | DOOM DANCING                |   73.79
  398 | SINNERS ATLANTIS            |   73.78
  399 | MADNESS ATTACKS             |   73.75
  400 | CASUALTIES ENCINO           |   72.91
  401 | PAST SUICIDES               |   72.87
  401 | WYOMING STORM               |   72.87
  403 | GAMES BOWFINGER             |   72.86
  404 | EGYPT TENENBAUMS            |   72.83
  404 | POTTER CONNECTICUT          |   72.83
  406 | INSTINCT AIRPORT            |   72.82
  407 | NEIGHBORS CHARADE           |   72.81
  408 | LEBOWSKI SOLDIERS           |   72.79
  409 | SNOWMAN ROLLERCOASTER       |   72.77
  410 | HILLS NEIGHBORS             |   72.75
  411 | CARIBBEAN LIBERTY           |   71.91
  412 | ALABAMA DEVIL               |   71.88
  413 | BRINGING HYSTERICAL         |   71.80
  414 | CHARIOTS CONSPIRACY         |   71.79
  415 | SWARM GOLD                  |   71.73
  416 | TEMPLE ATTRACTION           |   70.88
  417 | JINGLE SAGEBRUSH            |   70.87
  417 | USUAL UNTOUCHABLES          |   70.87
  417 | SATURN NAME                 |   70.87
  420 | TURN STAR                   |   70.86
  421 | DINOSAUR SECRETARY          |   70.80
  422 | AMISTAD MIDSUMMER           |   70.79
  423 | FAMILY SWEET                |   70.70
  423 | RUGRATS SHAKESPEARE         |   70.70
  425 | DAUGHTER MADIGAN            |   69.91
  426 | MOTHER OLEANDER             |   69.86
  427 | ARTIST COLDBLOODED          |   69.84
  428 | DRIVER ANNIE                |   69.82
  429 | POLLOCK DELIVERANCE         |   69.81
  430 | FLIGHT LIES                 |   68.88
  430 | GUNFIGHTER MUSSOLINI        |   68.88
  432 | NOON PAPI                   |   68.83
  433 | HONEY TIES                  |   68.81
  434 | CHICKEN HELLFIGHTERS        |   68.78
  435 | DETECTIVE VISION            |   68.73
  436 | AMELIE HELLFIGHTERS         |   67.90
  437 | BILL OTHERS                 |   67.81
  438 | DIVIDE MONSTER              |   67.79
  438 | EXCITEMENT EVE              |   67.79
  440 | ORANGE GRAPES               |   67.76
  441 | KING EVOLUTION              |   66.91
  442 | TWISTED PIRATES             |   66.89
  443 | DANGEROUS UPTOWN            |   66.88
  444 | OPPOSITE NECKLACE           |   66.87
  445 | BAREFOOT MANCHURIAN         |   66.82
  445 | WONKA SEA                   |   66.82
  447 | NORTH TEQUILA               |   65.89
  447 | OPUS ICE                    |   65.89
  449 | CHAMBER ITALIAN             |   65.88
  449 | WAR NOTTING                 |   65.88
  449 | MEET CHOCOLATE              |   65.88
  452 | LOVELY JINGLE               |   65.86
  453 | CLONES PINOCCHIO            |   65.81
  454 | FIDDLER LOST                |   64.90
  455 | LOST BIRD                   |   64.88
  456 | NASH CHOCOLAT               |   64.85
  456 | MANCHURIAN CURTAIN          |   64.85
  456 | DIVINE RESURRECTION         |   64.85
  459 | BEACH HEARTBREAKERS         |   64.83
  460 | POND SEATTLE                |   64.81
  461 | GILMORE BOILED              |   64.72
  462 | OCTOBER SUBMARINE           |   63.89
  462 | BIRD INDEPENDENCE           |   63.89
  464 | JAWS HARRY                  |   63.86
  465 | MASK PEACH                  |   63.83
  466 | BOULEVARD MOB               |   63.82
  467 | FURY MURDER                 |   63.81
  468 | LOATHING LEGALLY            |   63.73
  469 | HANDICAP BOONDOCK           |   63.72
  470 | LOVER TRUMAN                |   62.90
  471 | REAP UNFAITHFUL             |   62.84
  471 | GASLIGHT CRUSADE            |   62.84
  473 | JADE BUNCH                  |   62.82
  473 | ALONE TRIP                  |   62.82
  475 | CIDER DESIRE                |   62.81
  475 | EARRING INSTINCT            |   62.81
  477 | WRONG BEHAVIOR              |   62.80
  478 | PACIFIC AMISTAD             |   62.76
  479 | DYNAMITE TARZAN             |   62.75
  480 | MOD SECRETARY               |   61.89
  481 | STATE WASTELAND             |   61.88
  482 | KICK SAVANNAH               |   61.80
  483 | PARK CITIZEN                |   60.92
  484 | SPARTACUS CHEAPER           |   60.91
  485 | CIRCUS YOUTH                |   60.85
  486 | UPRISING UPTOWN             |   60.84
  487 | FIREBALL PHILADELPHIA       |   60.79
  487 | ANACONDA CONFESSIONS        |   60.79
  489 | PACKER MADIGAN              |   60.78
  490 | TIGHTS DAWN                 |   60.74
  491 | MADIGAN DORADO              |   59.90
  492 | WINDOW SIDE                 |   59.88
  492 | BORN SPINAL                 |   59.88
  492 | MASSAGE IMAGE               |   59.88
  495 | IDENTITY LOVER              |   59.87
  496 | NEMO CAMPUS                 |   59.86
  497 | OUTFIELD MASSACRE           |   59.80
  498 | FIGHT JAWBREAKER            |   59.78
  498 | ANNIE IDENTITY              |   59.78
  500 | MOCKINGBIRD HOLLYWOOD       |   59.76
  501 | SMILE EARRING               |   58.90
  502 | TRAINSPOTTING STRANGERS     |   58.89
  503 | VALLEY PACKER               |   58.85
  504 | MUMMY CREATURES             |   58.84
  504 | WILLOW TRACY                |   58.84
  506 | HEAVEN FREEDOM              |   58.82
  507 | FICTION CHRISTMAS           |   58.81
  508 | DALMATIONS SWEDEN           |   58.80
  509 | KARATE MOON                 |   58.77
  510 | GUYS FALCON                 |   57.91
  511 | LAMBS CINCINATTI            |   57.90
  511 | DOUBTFIRE LABYRINTH         |   57.90
  513 | SIERRA DIVIDE               |   57.85
  514 | PILOT HOOSIERS              |   57.84
  515 | PERFECT GROOVE              |   57.83
  516 | RACER EGG                   |   57.82
  516 | ENOUGH RAGING               |   57.82
  518 | RIVER OUTLAW                |   57.81
  518 | GABLES METROPOLIS           |   57.81
  520 | STRAIGHT HOURS              |   57.80
  521 | ELEMENT FREDDY              |   56.90
  522 | BOWFINGER GABLES            |   56.89
  522 | FUGITIVE MAGUIRE            |   56.89
  524 | CREATURES SHAKESPEARE       |   56.84
  525 | GRAPES FURY                 |   56.77
  526 | WONDERFUL DROP              |   55.91
  527 | IRON MOON                   |   55.89
  527 | BUGSY SONG                  |   55.89
  529 | PURPLE MOVIE                |   55.87
  530 | SHANE DARKNESS              |   55.86
  530 | ANALYZE HOOSIERS            |   55.86
  532 | DIRTY ACE                   |   55.85
  533 | PATRIOT ROMAN               |   55.84
  534 | UNITED PILOT                |   55.83
  534 | GREEK EVERYONE              |   55.83
  536 | GUNFIGHT MOON               |   55.76
  536 | SLUMS DUCK                  |   55.76
  538 | DANCING FEVER               |   55.73
  539 | MAGNIFICENT CHITTY          |   54.92
  540 | ALI FOREVER                 |   54.91
  540 | MONSOON CAUSE               |   54.91
  542 | GO PURPLE                   |   54.80
  543 | NUTS TIES                   |   53.91
  543 | FRISCO FORREST              |   53.91
  545 | SCISSORHANDS SLUMS          |   53.85
  545 | HUNTING MUSKETEERS          |   53.85
  547 | ROUGE SQUAD                 |   53.82
  548 | REUNION WITCHES             |   53.80
  549 | SLEUTH ORIENT               |   53.79
  550 | EFFECT GLADIATOR            |   53.75
  550 | SUN CONFESSIONS             |   53.75
  552 | ACE GOLDFINGER              |   52.93
  553 | CASPER DRAGONFLY            |   52.92
  554 | VANILLA DAY                 |   52.91
  554 | REDS POCUS                  |   52.91
  556 | SENSIBILITY REAR            |   52.90
  556 | GRAIL FRANKENSTEIN          |   52.90
  556 | RIGHT CRANES                |   52.90
  559 | EXORCIST STING              |   52.87
  560 | MADRE GABLES                |   52.86
  560 | ALLEY EVOLUTION             |   52.86
  560 | SHRUNK DIVINE               |   52.86
  563 | GRADUATE LORD               |   52.84
  564 | FREAKY POCUS                |   52.83
  565 | NOVOCAINE FLIGHT            |   52.81
  566 | CHOCOLAT HARRY              |   52.80
  567 | HAUNTING PIANIST            |   52.78
  568 | ISHTAR ROCKETEER            |   51.93
  568 | PANIC CLUB                  |   51.93
  570 | ELIZABETH SHANE             |   51.90
  571 | AFRICAN EGG                 |   51.88
  572 | BREAKING HOME               |   51.87
  573 | MONSTER SPARTACUS           |   51.85
  574 | MOULIN WAKE                 |   51.84
  574 | CADDYSHACK JEDI             |   51.84
  576 | PIRATES ROXANNE             |   51.78
  577 | VIRGINIAN PLUTO             |   51.71
  578 | CLERKS ANGELS               |   50.93
  579 | WORKER TARZAN               |   50.85
  580 | LOCK REAR                   |   50.84
  580 | INDIAN LOVE                 |   50.84
  582 | KWAI HOMEWARD               |   50.77
  583 | BOUND CHEAPER               |   50.76
  584 | INTOLERABLE INTENTIONS      |   49.91
  584 | DARLING BREAKING            |   49.91
  584 | SPEED SUIT                  |   49.91
  587 | HOLLOW JEOPARDY             |   49.90
  588 | POTLUCK MIXED               |   49.89
  589 | EXPRESS LONELY              |   49.87
  590 | PERSONAL LADYBUGS           |   49.86
  590 | TOWN ARK                    |   49.86
  592 | MODERN DORADO               |   49.85
  592 | WASTELAND DIVINE            |   49.85
  594 | HOURS RAGE                  |   49.81
  595 | GOSFORD DONNIE              |   48.92
  596 | DROP WATERFRONT             |   48.91
  597 | LOLITA WORLD                |   48.90
  598 | RIDER CADDYSHACK            |   48.89
  599 | DARKNESS WAR                |   48.87
  600 | CYCLONE FAMILY              |   48.86
  600 | HAMLET WISDOM               |   48.86
  602 | VARSITY TRIP                |   48.84
  603 | ROCK INSTINCT               |   48.83
  604 | GOLDMINE TYCOON             |   48.73
  605 | VOYAGE LEGALLY              |   48.72
  606 | SENSE GREEK                 |   47.93
  607 | CRUSADE HONEY               |   47.92
  608 | KRAMER CHOCOLATE            |   47.91
  609 | SHIP WONDERLAND             |   47.85
  609 | LABYRINTH LEAGUE            |   47.85
  609 | ENTRAPMENT SATISFACTION     |   47.85
  612 | NEWTON LABYRINTH            |   47.83
  613 | TRAMP OTHERS                |   47.80
  614 | GROSSE WONDERFUL            |   46.92
  614 | PUNK DIVORCE                |   46.92
  616 | ANYTHING SAVANNAH           |   46.91
  616 | LEGALLY SECRETARY           |   46.91
  616 | HOTEL HAPPINESS             |   46.91
  619 | STAGE WORLD                 |   46.90
  620 | MICROCOSMOS PARADISE        |   46.87
  621 | PARIS WEEKEND               |   46.86
  621 | TROOPERS METAL              |   46.86
  623 | SHREK LICENSE               |   46.85
  624 | STORM HAPPINESS             |   46.71
  625 | BABY HALL                   |   45.92
  626 | PLATOON INSTINCT            |   45.91
  626 | MATRIX SNOWMAN              |   45.91
  628 | ROLLERCOASTER BRINGING      |   45.90
  629 | SPEAKEASY DATE              |   45.88
  630 | DATE SPEED                  |   45.87
  631 | UNCUT SUICIDES              |   45.86
  631 | STOCK GLASS                 |   45.86
  633 | MIDNIGHT WESTWARD           |   45.83
  634 | ARMAGEDDON LOST             |   45.79
  635 | FANTASY TROOPERS            |   45.74
  636 | MIRACLE VIRTUAL             |   44.91
