 rank |            title            | revenue | total revenue 
   80 | YENTL IDAHO                 |  135.77 |      13021.68
   81 | FLINTSTONES HAPPINESS       |  134.83 |      13156.51
   82 | WHALE BIKINI                |  134.82 |      13291.33
   83 | HUNCHBACK IMPOSSIBLE        |  134.80 |      13426.13
   84 | DETAILS PACKER              |  133.81 |      13559.94
   85 | PINOCCHIO SIMON             |  133.80 |      13693.74
   86 | SUSPECTS QUILLS             |  133.70 |      13827.44
   87 | NETWORK PEAK                |  133.69 |      13961.13
   88 | HEARTBREAKERS BRIGHT        |  132.80 |      14093.93
   89 | BEAUTY GREASE               |  132.78 |      14359.49
   89 | KISS GLORY                  |  132.78 |      14359.49
   91 | LIAISONS SWEET              |  131.78 |      14491.27
   92 | ALADDIN CALENDAR            |  131.77 |      14623.04
   93 | SLEEPING SUSPECTS           |  131.76 |      14754.80
   94 | METROPOLIS COMA             |  131.74 |      14886.54
   95 | BINGO TALENTED              |  131.71 |      15018.25
   96 | ROAD ROXANNE                |  130.81 |      15149.06
   97 | MILLION ACE                 |  130.80 |      15279.86
   98 | RIDGEMONT SUBMARINE         |  130.68 |      15410.54
   99 | SATISFACTION CONFIDENTIAL   |  129.83 |      15540.37
  100 | HEAVYWEIGHTS BEAST          |  129.77 |      15670.14
  101 | DAWN POND                   |  128.82 |      15798.96
  102 | INTERVIEW LIAISONS          |  128.80 |      15927.76
  103 | CAUSE DATE                  |  128.79 |      16056.55
  104 | CANDLES GRAPES              |  128.77 |      16185.32
  105 | FORWARD TEMPLE              |  128.68 |      16314.00
  106 | TEEN APOLLO                 |  127.83 |      16441.83
  107 | SOMETHING DUCK              |  127.81 |      16569.64
  108 | SNATCH SLIPPER              |  127.78 |      16697.42
  109 | FALCON VOLUME               |  127.77 |      16825.19
  110 | TRAP GUYS                   |  126.84 |      16952.03
  111 | MISSION ZOOLANDER           |  126.82 |      17078.85
  112 | AGENT TRUMAN                |  126.79 |      17332.43
  112 | SABRINA MIDNIGHT            |  126.79 |      17332.43
  114 | FREDDY STORM                |  126.77 |      17459.20
  115 | STRANGERS GRAFFITI          |  123.83 |      17583.03
  116 | DOORS PRESIDENT             |  123.81 |      17706.84
  117 | MALTESE HOPE                |  123.78 |      17830.62
  118 | BUTTERFLY CHOCOLAT          |  123.70 |      17954.32
  119 | TIMBERLAND SKY              |  123.69 |      18078.01
  120 | WATERFRONT DELIVERANCE      |  121.83 |      18199.84
  121 | SLEEPLESS MONSOON           |  121.80 |      18321.64
  122 | TRUMAN CRAZY                |  121.77 |      18443.41
  123 | SCARFACE BANG               |  120.82 |      18564.23
  124 | HIGH ENCINO                 |  120.78 |      18685.01
  125 | RAGE GAMES                  |  119.81 |      18804.82
  126 | GHOST GROUNDHOG             |  119.79 |      18924.61
  127 | ANGELS LIFE                 |  119.78 |      19044.39
  128 | WASH HEAVENLY               |  119.77 |      19164.16
  129 | LADY STAGE                  |  118.83 |      19282.99
  130 | DESERT POSEIDON             |  118.81 |      19401.80
  131 | PHILADELPHIA WIFE           |  118.78 |      19520.58
  132 | VIRTUAL SPOILERS            |  117.86 |      19638.44
  133 | THIEF PELICAN               |  117.81 |      19756.25
  134 | BROOKLYN DESERT             |  116.79 |      19989.83
  134 | SECRET GROUNDHOG            |  116.79 |      19989.83
  136 | KNOCK WARLOCK               |  116.76 |      20106.59
  137 | HANKY OCTOBER               |  116.74 |      20223.33
  138 | ROCKETEER MOTHER            |  116.67 |      20340.00
  139 | GALAXY SWEETHEARTS          |  115.82 |      20455.82
  140 | PREJUDICE OLEANDER          |  115.80 |      20687.42
  140 | SPICE SORORITY              |  115.80 |      20687.42
  142 | BEVERLY OUTLAW              |  115.79 |      20919.00
  142 | DRIVING POLISH              |  115.79 |      20919.00
  144 | CONVERSATION DOWNHILL       |  114.83 |      21033.83
  145 | UNDEFEATED DALMATIONS       |  114.79 |      21148.62
  146 | ARACHNOPHOBIA ROLLERCOASTER |  114.76 |      21263.38
  147 | IDOLS SNATCHERS             |  114.70 |      21378.08
  148 | HANGING DEEP                |  113.81 |      21491.89
  149 | REDEMPTION COMFORTS         |  113.80 |      21605.69
  150 | OPEN AFRICAN                |  113.79 |      21719.48
  151 | STRICTLY SCARFACE           |  113.77 |      21833.25
  152 | SECRETARY ROUGE             |  112.82 |      21946.07
  153 | HORN WORKING                |  112.76 |      22058.83
  154 | CLUELESS BUCKET             |  112.75 |      22171.58
  155 | GANGS PRIDE                 |  112.73 |      22284.31
  156 | BIRDS PERDITION             |  111.82 |      22396.13
  157 | SWEDEN SHINING              |  111.81 |      22507.94
  158 | MONEY HAROLD                |  111.80 |      22619.74
  159 | FARGO GANDHI                |  111.76 |      22731.50
  160 | PANKY SUBMARINE             |  110.85 |      22842.35
  161 | DUDE BLINDNESS              |  110.84 |      22953.19
  162 | EXPECATIONS NATURAL         |  110.82 |      23064.01
  163 | CHASING FIGHT               |  110.81 |      23285.63
  163 | REQUIEM TYCOON              |  110.81 |      23285.63
  165 | REIGN GENTLEMEN             |  110.80 |      23396.43
  166 | TOMORROW HUSTLER            |  110.75 |      23507.18
  167 | GRIT CLOCKWORK              |  110.68 |      23617.86
  168 | DAY UNFAITHFUL              |  109.86 |      23727.72
  169 | BREAKFAST GOLDFINGER        |  109.83 |      23837.55
  170 | SHAWSHANK BUBBLE            |  109.81 |      23947.36
  171 | JET NEIGHBORS               |  109.80 |      24057.16
  172 | GREATEST NORTH              |  109.71 |      24166.87
  173 | FISH OPUS                   |  108.75 |      24384.37
  173 | SAMURAI LION                |  108.75 |      24384.37
  175 | COMMAND DARLING             |  107.84 |      24600.05
  175 | ROCKY WAR                   |  107.84 |      24600.05
  177 | JERK PAYCHECK               |  107.80 |      24707.85
  178 | BEAR GRACELAND              |  107.78 |      24923.41
  178 | SOUTH WAIT                  |  107.78 |      24923.41
  180 | FATAL HAUNTED               |  107.72 |      25031.13
  181 | CUPBOARD SINNERS            |  106.77 |      25244.67
  181 | SALUTE APOLLO               |  106.77 |      25244.67
  183 | GIANT TROOPERS              |  106.72 |      25351.39
  184 | LEAGUE HELLFIGHTERS         |  105.83 |      25563.05
  184 | SUGAR WONKA                 |  105.83 |      25563.05
  186 | GORGEOUS BINGO              |  105.81 |      25668.86
  187 | PEAK FOREVER                |  105.80 |      25774.66
  188 | EGG IGBY                    |  105.79 |      25880.45
  189 | ROBBERS JOON                |  105.69 |      25986.14
  190 | WEST LION                   |  104.84 |      26090.98
  191 | STEPMOM DREAM               |  104.80 |      26195.78
  192 | ARIZONA BANG                |  104.79 |      26300.57
  193 | HYDE DOCTOR                 |  104.73 |      26405.30
  194 | TYCOON GATHERING            |  103.88 |      26509.18
  195 | CORE SUIT                   |  103.82 |      26716.82
  195 | DRAGONFLY STRANGERS         |  103.82 |      26716.82
  197 | METAL ARMAGEDDON            |  103.75 |      26820.57
  198 | INVASION CYCLONE            |  103.73 |      26924.30
  199 | ENGLISH BULWORTH            |  103.70 |      27028.00
  200 | BILKO ANONYMOUS             |  102.87 |      27130.87
  201 | CONFUSED CANDLES            |  102.83 |      27336.53
  201 | FRENCH HOLIDAY              |  102.83 |      27336.53
  203 | AIRPORT POLLOCK             |  102.82 |      27542.17
  203 | GROUNDHOG UNCUT             |  102.82 |      27542.17
  205 | PATTON INTERVIEW            |  102.77 |      27644.94
  206 | ATTACKS HATE                |  101.84 |      27950.46
  206 | PAYCHECK WAIT               |  101.84 |      27950.46
  206 | RULES HUMAN                 |  101.84 |      27950.46
  209 | BROTHERHOOD BLANKET         |  101.74 |      28052.20
  210 | CAMELOT VACATION            |  101.73 |      28153.93
  211 | BEHAVIOR RUNAWAY            |  100.87 |      28254.80
  212 | QUILLS BULL                 |  100.84 |      28355.64
  213 | POSEIDON FOREVER            |  100.83 |      28456.47
  214 | ICE CROSSING                |  100.76 |      28657.99
  214 | JASON TRAP                  |  100.76 |      28657.99
  216 | CONQUERER NUTS              |   99.84 |      28857.67
  216 | MERMAID INSECTS             |   99.84 |      28857.67
  218 | IGBY MAKER                  |   99.81 |      28957.48
  219 | SHOCK CABIN                 |   99.70 |      29057.18
  220 | HALL CASSIDY                |   98.84 |      29254.86
  220 | PICKUP DRIVING              |   98.84 |      29254.86
  222 | BIKINI BORROWERS            |   98.83 |      29551.35
  222 | HANOVER GALAXY              |   98.83 |      29551.35
  222 | JERICHO MULAN               |   98.83 |      29551.35
  225 | BALLOON HOMEWARD            |   98.77 |      29650.12
  226 | SWEETHEARTS SUSPECTS        |   98.71 |      29748.83
  227 | MARRIED GO                  |   98.70 |      29847.53
  228 | WIZARD COLDBLOODED          |   97.84 |      29945.37
  229 | HELLFIGHTERS SIERRA         |   97.80 |      30043.17
  230 | SEA VIRGIN                  |   97.78 |      30140.95
  231 | EXPENDABLE STALLION         |   97.72 |      30238.67
  232 | DESTINY SATURDAY            |   96.84 |      30335.51
  233 | CANDIDATE PERDITION         |   96.81 |      30432.32
  234 | VACATION BOONDOCK           |   96.79 |      30529.11
  235 | BARBARELLA STREETCAR        |   96.75 |      30625.86
  236 | DEER VIRGINIAN              |   96.72 |      30722.58
  237 | JUGGLER HARDLY              |   96.68 |      30819.26
  238 | DAISY MENAGERIE             |   95.84 |      30915.10
  239 | INCH JET                    |   95.82 |      31010.92
  240 | OZ LIAISONS                 |   95.76 |      31106.68
  241 | SEABISCUIT PUNK             |   95.74 |      31202.42
  242 | MUSCLE BRIGHT               |   95.70 |      31298.12
  243 | GOLD RIVER                  |   94.86 |      31392.98
  244 | SPY MILE                    |   94.73 |      31487.71
  245 | MODEL FISH                  |   93.85 |      31581.56
  246 | DYING MAKER                 |   93.83 |      31769.22
  246 | VIRGIN DAISY                |   93.83 |      31769.22
  248 | DARN FORRESTER              |   93.82 |      31863.04
  249 | COLOR PHILADELPHIA          |   93.76 |      31956.80
  250 | WARDROBE PHANTOM            |   93.73 |      32050.53
  251 | BRIGHT ENCOUNTERS           |   92.87 |      32236.27
  251 | FLASH WARS                  |   92.87 |      32236.27
  253 | EDGE KISSING                |   92.85 |      32329.12
  254 | PURE RUNNER                 |   92.84 |      32421.96
  255 | MUSKETEERS WAIT             |   92.83 |      32514.79
  256 | SLEEPY JAPANESE             |   92.80 |      32607.59
  257 | SILVERADO GOLDFINGER        |   91.88 |      32699.47
  258 | BETRAYED REAR               |   91.85 |      32791.32
  259 | SAGEBRUSH CLUELESS          |   91.84 |      32883.16
  260 | SLACKER LIAISONS            |   91.83 |      32974.99
  261 | AFFAIR PREJUDICE            |   91.77 |      33066.76
  262 | HALF OUTFIELD               |   91.75 |      33250.26
  262 | TELEMARK HEARTBREAKERS      |   91.75 |      33250.26
  264 | BLACKOUT PRIVATE            |   91.73 |      33341.99
  265 | CONNECTICUT TRAMP           |   90.87 |      33432.86
  266 | CAMPUS REMEMBER             |   90.81 |      33523.67
  267 | BASIC EASY                  |   90.79 |      33614.46
  268 | ALIEN CENTER                |   90.78 |      33796.02
  268 | FLATLINERS KILLER           |   90.78 |      33796.02
  270 | ELEPHANT TROJAN             |   89.86 |      33885.88
  271 | CHICAGO NORTH               |   89.84 |      34065.56
  271 | COLDBLOODED DARLING         |   89.84 |      34065.56
  273 | DISTURBING SCARFACE         |   89.74 |      34155.30
  274 | PITTSBURGH HUNCHBACK        |   88.88 |      34244.18
  275 | MEMENTO ZOOLANDER           |   88.87 |      34421.92
  275 | MOONWALKER FOOL             |   88.87 |      34421.92
  277 | LOSER HUSTLER               |   88.85 |      34688.47
  277 | PANTHER REDS                |   88.85 |      34688.47
  277 | SUBMARINE BED               |   88.85 |      34688.47
  280 | PLUTO OLEANDER              |   88.84 |      34777.31
  281 | RUSH GOODFELLAS             |   88.69 |      34866.00
  282 | CINCINATTI WHISPERER        |   87.87 |      34953.87
  283 | HYSTERICAL GRAIL            |   87.85 |      35041.72
  284 | FORREST SONS                |   87.82 |      35217.36
  284 | VANISHING ROCKY             |   87.82 |      35217.36
  286 | NORTHWEST POLISH            |   87.80 |      35305.16
  287 | ATLANTIS CAUSE              |   87.76 |      35392.92
  288 | HORROR REIGN                |   87.73 |      35568.38
  288 | OPERATION OPERATION         |   87.73 |      35568.38
  290 | SUPER WYOMING               |   86.87 |      35655.25
  291 | JEEPERS WEDDING             |   86.84 |      35915.77
  291 | LAWLESS VISION              |   86.84 |      35915.77
  291 | WANDA CHAMBER               |   86.84 |      35915.77
  294 | JEKYLL FROGMEN              |   86.83 |      36002.60
  295 | STAR OPERATION              |   86.79 |      36089.39
  296 | STRANGELOVE DESIRE          |   86.76 |      36176.15
  297 | CHAMPION FLATLINERS         |   85.87 |      36262.02
  298 | ANTHEM LUKE                 |   85.85 |      36433.72
  298 | STEERS ARMAGEDDON           |   85.85 |      36433.72
  300 | HURRICANE AFFAIR            |   85.76 |      36519.48
  301 | CLASH FREDDY                |   85.75 |      36605.23
  302 | CONTACT ANONYMOUS           |   85.74 |      36862.45
  302 | ISLAND EXORCIST             |   85.74 |      36862.45
  302 | TRACY CIDER                 |   85.74 |      36862.45
  305 | AUTUMN CROW                 |   84.89 |      36947.34
  306 | RAGING AIRPLANE             |   84.87 |      37032.21
  307 | PEACH INNOCENT              |   84.85 |      37117.06
  308 | COMFORTS RUSH               |   84.83 |      37201.89
  309 | BLUES INSTINCT              |   84.79 |      37286.68
  310 | MURDER ANTITRUST            |   84.77 |      37371.45
  311 | DOWNHILL ENOUGH             |   84.75 |      37456.20
  312 | MALKOVICH PET               |   84.74 |      37540.94
  313 | NONE SPIKING                |   84.73 |      37625.67
  314 | CALIFORNIA BIRDS            |   83.88 |      37709.55
  315 | DEVIL DESIRE                |   83.85 |      37793.40
  316 | CAROL TEXAS                 |   83.82 |      37877.22
  317 | EYES DRIVING                |   83.81 |      37961.03
  318 | FLYING HOOK                 |   83.80 |      38044.83
  319 | WAIT CIDER                  |   83.79 |      38128.62
  320 | OSCAR GOLD                  |   83.75 |      38212.37
  321 | DARKO DORADO                |   82.89 |      38295.26
  322 | CREEPERS KANE               |   82.86 |      38378.12
  323 | AIRPLANE SIERRA             |   82.85 |      38543.82
  323 | HOLIDAY GAMES               |   82.85 |      38543.82
  325 | CASABLANCA SUPER            |   82.84 |      38709.50
  325 | WORDS HUNTER                |   82.84 |      38709.50
  327 | NATIONAL STORY              |   82.81 |      38792.31
  328 | UNBREAKABLE KARATE          |   82.79 |      38875.10
  329 | SHAKESPEARE SADDLE          |   82.78 |      38957.88
  330 | PATHS CONTROL               |   81.90 |      39039.78
  331 | SWEET BROTHERHOOD           |   81.85 |      39121.63
  332 | TROJAN TOMORROW             |   81.80 |      39203.43
  333 | DREAM PICKUP                |   81.78 |      39285.21
  334 | GENTLEMEN STAGE             |   81.77 |      39366.98
  335 | GOLDFINGER SENSIBILITY      |   81.76 |      39530.50
  335 | WEDDING APOLLO              |   81.76 |      39530.50
  337 | LOSE INCH                   |   81.73 |      39612.23
  338 | GRAFFITI LOVE               |   81.70 |      39693.93
  339 | HOBBIT ALIEN                |   81.69 |      39775.62
  340 | TIES HUNGER                 |   80.89 |      39856.51
  341 | DEEP CRUSADE                |   80.86 |      39937.37
  342 | CHARADE DUFFEL              |   80.85 |      40099.07
  342 | HUMAN GRAFFITI              |   80.85 |      40099.07
  344 | IDAHO LOVE                  |   80.83 |      40260.73
  344 | ORIENT CLOSER               |   80.83 |      40260.73
  346 | ESCAPE METROPOLIS           |   80.75 |      40341.48
  347 | VAMPIRE WHALE               |   79.88 |      40421.36
  348 | HOME PITY                   |   79.86 |      40501.22
  349 | BAKED CLEOPATRA             |   79.84 |      40660.90
  349 | SONS INTERVIEW              |   79.84 |      40660.90
  351 | FERRIS MOTHER               |   79.83 |      40740.73
  352 | PARADISE SABRINA            |   79.82 |      40820.55
  353 | TROUBLE DATE                |   79.78 |      40900.33
  354 | OTHERS SOUP                 |   79.77 |      40980.10
  355 | JUMPING WRATH               |   79.76 |      41059.86
  356 | WEREWOLF LOLA               |   78.86 |      41138.72
  357 | INTENTIONS EMPIRE           |   78.83 |      41217.55
  358 | BERETS AGENT                |   78.78 |      41296.33
  359 | BOILED DARES                |   77.85 |      41452.03
  359 | LONELY ELEPHANT             |   77.85 |      41452.03
  361 | JACKET FRISCO               |   77.82 |      41529.85
  362 | HARPER DYING                |   77.80 |      41685.45
  362 | QUEST MUSSOLINI             |   77.80 |      41685.45
  364 | CROSSROADS CASUALTIES       |   77.79 |      41763.24
  365 | MALLRATS UNITED             |   77.75 |      41840.99
  366 | BEAST HUNCHBACK             |   76.89 |      41917.88
  367 | TUXEDO MILE                 |   76.87 |      41994.75
  368 | BLINDNESS GUN               |   76.86 |      42225.33
  368 | GRINCH MASSAGE              |   76.86 |      42225.33
  368 | IMAGE PRINCESS              |   76.86 |      42225.33
  371 | MADISON TRAP                |   76.85 |      42302.18
  372 | BADMAN DAWN                 |   76.79 |      42378.97
  373 | FROST HEAD                  |   76.70 |      42455.67
  374 | STRANGER STRANGERS          |   75.89 |      42531.56
  375 | LIBERTY MAGNIFICENT         |   75.88 |      42607.44
  376 | DADDY PITTSBURGH            |   75.87 |      42683.31
  377 | CONFESSIONS MAGUIRE         |   75.86 |      42910.89
  377 | HOLES BRANNIGAN             |   75.86 |      42910.89
  377 | SEARCHERS WAIT              |   75.86 |      42910.89
  380 | HOPE TOOTSIE                |   75.82 |      42986.71
  381 | BIRCH ANTITRUST             |   74.89 |      43061.60
  382 | BRANNIGAN SUNRISE           |   74.88 |      43136.48
  383 | IMPOSSIBLE PREJUDICE        |   74.86 |      43211.34
  384 | LUST LOCK                   |   74.82 |      43360.98
  384 | WEEKEND PERSONAL            |   74.82 |      43360.98
  386 | HOMICIDE PEACH              |   74.78 |      43435.76
  387 | HOUSE DYNAMITE              |   74.77 |      43510.53
  388 | DOUBLE WRATH                |   74.75 |      43585.28
  389 | THIN SAGEBRUSH              |   73.89 |      43659.17
  390 | CHISUM BEHAVIOR             |   73.87 |      43733.04
  391 | OUTLAW HANKY                |   73.86 |      43806.90
  392 | WORST BANGER                |   73.84 |      43880.74
  393 | ZOOLANDER FICTION           |   73.83 |      43954.57
  394 | REMEMBER DIARY              |   73.82 |      44028.39
  395 | FANTASIA PARK               |   73.81 |      44102.20
  396 | INSIDER ARIZONA             |   73.80 |      44176.00
  397 | DOOM DANCING                |   73.79 |      44249.79
  398 | SINNERS ATLANTIS            |   73.78 |      44323.57
  399 | MADNESS ATTACKS             |   73.75 |      44397.32
  400 | CASUALTIES ENCINO           |   72.91 |      44470.23
  401 | PAST SUICIDES               |   72.87 |      44615.97
  401 | WYOMING STORM               |   72.87 |      44615.97
  403 | GAMES BOWFINGER             |   72.86 |      44688.83
  404 | EGYPT TENENBAUMS            |   72.83 |      44834.49
  404 | POTTER CONNECTICUT          |   72.83 |      44834.49
  406 | INSTINCT AIRPORT            |   72.82 |      44907.31
  407 | NEIGHBORS CHARADE           |   72.81 |      44980.12
  408 | LEBOWSKI SOLDIERS           |   72.79 |      45052.91
  409 | SNOWMAN ROLLERCOASTER       |   72.77 |      45125.68
  410 | HILLS NEIGHBORS             |   72.75 |      45198.43
  411 | CARIBBEAN LIBERTY           |   71.91 |      45270.34
  412 | ALABAMA DEVIL               |   71.88 |      45342.22
  413 | BRINGING HYSTERICAL         |   71.80 |      45414.02
  414 | CHARIOTS CONSPIRACY         |   71.79 |      45485.81
  415 | SWARM GOLD                  |   71.73 |      45557.54
  416 | TEMPLE ATTRACTION           |   70.88 |      45628.42
  417 | JINGLE SAGEBRUSH            |   70.87 |      45841.03
  417 | SATURN NAME                 |   70.87 |      45841.03
  417 | USUAL UNTOUCHABLES          |   70.87 |      45841.03
  420 | TURN STAR                   |   70.86 |      45911.89
  421 | DINOSAUR SECRETARY          |   70.80 |      45982.69
  422 | AMISTAD MIDSUMMER           |   70.79 |      46053.48
  423 | FAMILY SWEET                |   70.70 |      46194.88
  423 | RUGRATS SHAKESPEARE         |   70.70 |      46194.88
  425 | DAUGHTER MADIGAN            |   69.91 |      46264.79
  426 | MOTHER OLEANDER             |   69.86 |      46334.65
  427 | ARTIST COLDBLOODED          |   69.84 |      46404.49
  428 | DRIVER ANNIE                |   69.82 |      46474.31
  429 | POLLOCK DELIVERANCE         |   69.81 |      46544.12
  430 | FLIGHT LIES                 |   68.88 |      46681.88
  430 | GUNFIGHTER MUSSOLINI        |   68.88 |      46681.88
  432 | NOON PAPI                   |   68.83 |      46750.71
  433 | HONEY TIES                  |   68.81 |      46819.52
  434 | CHICKEN HELLFIGHTERS        |   68.78 |      46888.30
  435 | DETECTIVE VISION            |   68.73 |      46957.03
  436 | AMELIE HELLFIGHTERS         |   67.90 |      47024.93
  437 | BILL OTHERS                 |   67.81 |      47092.74
  438 | DIVIDE MONSTER              |   67.79 |      47228.32
  438 | EXCITEMENT EVE              |   67.79 |      47228.32
  440 | ORANGE GRAPES               |   67.76 |      47296.08
  441 | KING EVOLUTION              |   66.91 |      47362.99
  442 | TWISTED PIRATES             |   66.89 |      47429.88
  443 | DANGEROUS UPTOWN            |   66.88 |      47496.76
  444 | OPPOSITE NECKLACE           |   66.87 |      47563.63
  445 | BAREFOOT MANCHURIAN         |   66.82 |      47697.27
  445 | WONKA SEA                   |   66.82 |      47697.27
  447 | NORTH TEQUILA               |   65.89 |      47829.05
  447 | OPUS ICE                    |   65.89 |      47829.05
  449 | CHAMBER ITALIAN             |   65.88 |      48026.69
  449 | MEET CHOCOLATE              |   65.88 |      48026.69
  449 | WAR NOTTING                 |   65.88 |      48026.69
  452 | LOVELY JINGLE               |   65.86 |      48092.55
  453 | CLONES PINOCCHIO            |   65.81 |      48158.36
  454 | FIDDLER LOST                |   64.90 |      48223.26
  455 | LOST BIRD                   |   64.88 |      48288.14
  456 | DIVINE RESURRECTION         |   64.85 |      48482.69
  456 | MANCHURIAN CURTAIN          |   64.85 |      48482.69
  456 | NASH CHOCOLAT               |   64.85 |      48482.69
  459 | BEACH HEARTBREAKERS         |   64.83 |      48547.52
  460 | POND SEATTLE                |   64.81 |      48612.33
  461 | GILMORE BOILED              |   64.72 |      48677.05
  462 | BIRD INDEPENDENCE           |   63.89 |      48804.83
  462 | OCTOBER SUBMARINE           |   63.89 |      48804.83
  464 | JAWS HARRY                  |   63.86 |      48868.69
  465 | MASK PEACH                  |   63.83 |      48932.52
  466 | BOULEVARD MOB               |   63.82 |      48996.34
  467 | FURY MURDER                 |   63.81 |      49060.15
  468 | LOATHING LEGALLY            |   63.73 |      49123.88
  469 | HANDICAP BOONDOCK           |   63.72 |      49187.60
  470 | LOVER TRUMAN                |   62.90 |      49250.50
  471 | GASLIGHT CRUSADE            |   62.84 |      49376.18
  471 | REAP UNFAITHFUL             |   62.84 |      49376.18
  473 | ALONE TRIP                  |   62.82 |      49501.82
  473 | JADE BUNCH                  |   62.82 |      49501.82
  475 | CIDER DESIRE                |   62.81 |      49627.44
  475 | EARRING INSTINCT            |   62.81 |      49627.44
  477 | WRONG BEHAVIOR              |   62.80 |      49690.24
  478 | PACIFIC AMISTAD             |   62.76 |      49753.00
  479 | DYNAMITE TARZAN             |   62.75 |      49815.75
  480 | MOD SECRETARY               |   61.89 |      49877.64
  481 | STATE WASTELAND             |   61.88 |      49939.52
